"Klarna Invoice","Klarna Faktura"
"No address found. Verify the personal id and try again","Ingen adress hittades. Kontrollera personnummer och försök igen."
"Please note that both shipping and billing address will be updated to this address when you place your order","Både leverans och fakturaadress kommer att uppdateras till denna adress när du lägger ordern."
"Please note that shipping address will be updated to this address when you place your order","Leveransadress kommer att uppdateras till denna adress när du lägger ordern."

"Invoice","Faktura"
"Refund","Kreditera"
"month","månad"
"Reservation","Reservation"
"Reservation Pending","Reservationen är ej klar"
"Reservation Denied","Reservationen nekades"
"Country","Land"
"Description","Beskrivning"
"Months","Månader"
"Minimum amount","Minsta belopp"
"Address","Adress"
"By submitting my data I consent to the processing of my data by Klarna for the purposes of identity- and credit assessment and the settlement of the purchase. I may revoke my %s for the processing of data and for the purposes for which this is possible according to law. The general %s apply.","Mit der Übermittlung der für die Abwicklung der gewählten Klarna Zahlungsmethode und einer Identitäts– und Bonitätsprüfung erforderlichen Daten an Klarna bin ich einverstanden. Meine %s kann ich jederzeit mit Wirkung für die Zukunft widerrufen. Es gelten die %s des Händlers."
"Date of birth","Födelsedag"
"Gender","Kön"
"Male","Man"
"Female","Kvinna"
"Monthly cost","Månadskostnad"
"Total cost","Total kostnad"
"Start fee","Startavgift"
"Personal ID/Registration number","Personnummer/Org. nummer"
"Fetch ","Hämta"
"Identifying...","Identifierar..."
"Phone number","Telefonnummer"
"Discount (%s)","Rabatt (%s)"

"Gift Wrapping for Order","Presentinslagning för ordern"
"Gift Wrapping for Items","Presentinslagning för produkter"
"Printed Card","Printat kort"
"Gift Card","Presentkort"
"Customer Balance","Kundbalans"
"Reward Currency","Valuta för återbäring"

"YYMMDD-XXXX","ÅÅMMDD-XXXX"
"URL to terms and conditions","URL till villkor"
"URL to this stores own terms and conditions (only used in Germany and Austria)","URL till butikens villkor (används endast för Tyskland och Österrike)"
"terms and conditions","AGB"
"Testmode is active, only Klarna specific test customers will be allowed","Testläget är aktiverat, endast Klarnas test kunder kommer att fungera."
"Year","År"
"Month","Månad"
"Day","Dag"
"07xxxxxxxx","07xxxxxxxx"

"Disable payment widget on product page","Deaktivera betal-widget på produkt sidan"
"If set to yes, the payment information from Klarna will not appear on the product page","Om ja, så kommer inte betalinformation från Klarna att presenteras på produkt sidan"

"Disable method for company purchase","Deaktivera betalsätt för företagsköp"
"Disable this method when company field is filled in during checkout","Deaktivera betalsättet när företagsfältet är ifyllt"
"Default Country Only","Endast förvalt land"
"Multiple Countries Allowed","Flera länder accepteras"

"Klarna Checkout","Klarna Checkout"
"Auto prefill known Klarna details","Fyll i känd information i checkout"
"When activated, it will use the logged in customer details to prefill the Klarna Checkout form","När den är aktiverad, använder den information om den inloggade kunden för att fylla i Klarna Checkout formuläret"
"Extra order ID attribute","Extra order id attribut"
"Will be used in the orderid2 field on the Klarna order","Kommer användas i fältet orderid2 på Klarna ordern"
"Newsletter","Nyhetsbrev"
"If checkbox for newsletter should be shown in checkout page.","Om checkboxen för nyhetsbrev ska visas i checkout"
"Checked by default","Checkbox ifylld automatiskt"
"A/B Testing settings","A/B testning inställningar"
"Activate A/B Testing","Aktivera A/B testning"
"Enable for IP range","Aktivera för IP intervall"
"Specify 2 numbers between 0 and 255, separated by dash. Example: '0-50'. Empty value enables all IP addresses","Två siffror, separerade med minus tecken. Till exempel 0-50"
"Enable for logged in Customers","Aktivera för inloggade kunder"
"If not enabled, logged in customers will use standard Magento checkout","Om den inte är aktiverad, kommer inloggade kunder att använda standard kassan"
"Enable for specific customer groups","Aktivera för vissa kundgrupper"
"If you do not belong to a selected customer group, standard Magento checkout will be used. None selected, means enabled for all","Om du inte tillhör en kundgrupp som är aktiverad, kommer standard kassa användas. Inga valda i inställningen betyder alla kundgrupper"
"For an easy checkout, I consent to use the data saved in my account with the new Klarna Checkout according to the %s","Jag godkänner att min information används för att fylla i fält i Klarna Checkout, enligt %s"
"No","Nej"
"Yes - Subscribe to newsletter","Ja - Prenumerera på nyhetsbrev"
"Yes - Don't subscribe to newsletter","Ja - Prenumerera inte på nyhetsbrev"
"Subscribe to newsletter","Prenumerera på nyhetsbrev"
"Don't subscribe to newsletter","Jag vill inte få lojalitetserbjudanden som rabattkoder via min e-postadress"
"URL to this stores own terms and conditions","URL till butikens villkor"
"Refund amount","Återbetalning"
"Go to Klarna Checkout","Gå till Klarna Checkout"
"Other Payment Methods","Andra betalsätt"

"Country Default","Standard"
"Force entry of phonenumber","Tvinga telefonnummer"
"Enable DHL Packstation","Aktivera DHL Packstation"
"Enable cart in checkout page","Aktivera varukorgen på checkout sidan"
"Only available in Germany","Endast tillgängligt i Tyskland"
"Enable Autofocus for Klarna Checkout","Aktivera automatisk fokus till Klarna Checkout"
"Support of other payment methods","Stöd för användning av andra betalsätt"
"If enabled, one button will be placed on klarna checkout page and one in the payment section of standard checkout","Om man aktiverar detta så visas en knapp i Klarna Checkout och en annan i betalsätt sektionen på standard kassan"
"Label for Other Payment Methods button","Namn på knappen till Andra Betalsätt"
"Label for Back to Klarna Checkout button","Namn på knappen för att Återgå till Klarna Checkout"
"Other Payment Methods","Andra Betalsätt"
"Go to Klarna Checkout","Tillbaka till Klarna Checkout"
"This can be free text or a complete URL to a reasonably sized image","Detta kan vara fri text eller en komplett URL till en bild av korrekt storlek"
"Reference","Referens"
"Order Id","Order Id"
"Capture ID","Aktiverings ID"
"Klarna Checkout is not responding properly. Please try again in a while or choose another payment method.","Just nu kan vi inte genomföra ditt köp med Klarna på grund av ett tekniskt fel. Försök igen om en stund. Om du fortfarande får detta meddelande, vänligen välj ett annat betalsätt för att genomföra ditt köp"

"Please note that your official address will be used for shipping and billing address when you place your order","Både leverans och fakturaadress kommer att uppdateras till din officiella adress när du lägger ordern"
"User Defined Variables","Anpassningsbara variabler"
"JSON encoded array. Please consult Klarna before using this, incorrect information may cause the integration to stop working","JSON kodad array. Vänligen kontakta Klarna innan ni använder detta, fel i fältet kan orsaka att integrationen slutar fungera"
"Disable Klarna Backend","Deaktivera Klarna i Admin"
"Disable all calls to Klarna from Admin, such as Capture, Credit and Cancel. This feature can be used if those functions are maintained by an external system","Deaktivera alla anrop till Klarna från Admin, som till exempel Aktivera, Kreditera och Avbryt. Denna funktion kan användas om ett annat system styr dessa funktioner"
"Invoice Klarna Orders","Fakturera Klarna Order"
"Invoice created for order","Faktura skapad för order"
"Order ignored, does not have Klarna as payment method","Order ignorerad, den har inte Klarna som betalsätt"
"Default","Förvalt"
"Layout","Layout"
"2 columns with right sidebar","2 kolumner med varukorg på höger sida"
"Show login form","Visa inloggning"
"Only for 2 column layout","Enbart 2 kolumn layout"
"Order Summary", "Order Summary"
"E-mail", "E-post"
"Password", "Lösenord"
"Login", "Logga in"
"Shipping Countries","Leverans till länder"
"Specific for API V.3.1. List of allowed shipping countries. If none selected, none will be supported. List will appear in Klarna Checkout","Endast för API V.3.1. Lista över tillåtna länder att leverera till. Är ingen vald, visas ingen. Listan visas i Klarna Checkout"
"Please note that your official address will be used for shipping address when you place your order","Leveransadressen kommer att uppdateras till din officiella adress när du lägger ordern"
"Technical problem occurred while using %s payment method. Please try again later.","Ett tekniskt problem inträffade för betalningsmetoden %s. Var god försök igen senare."

"Cart redirect","Tillbaka till varukorg"
"Default is cart, custom redirect must not go to any checkout page","Normalt är att gå till varukorgen, om man vill ha en annan sida kan man välja det här, men det får inte vara någon checkout sida"
"Enable javascript trigger for address update","Aktivera javascript för address uppdatering"
"Automatically register guests on checkout","Automatiskt skapa kundkort för gäster i checkout"
"If disabled and Guest Checkout is allowed in Magento Checkout Options, orders will be placed as guests.","Om deaktiverad och Gäst Checkout är tillåten, kommer ordrar placerade som gäst att vara gäst ordrar, i annat fall skapas ett kundkort"
"Only when https is activated in checkout","Endast när https är aktiverad i checkout"
"Automatically reactivate Klarna Checkout","Automatiskt återgå till Klarna Checkout"
"If enabled, it will go to Klarna Checkout next time checkout is requested, if user exits standard checkout by going to another page. Attention! If there are many customizations in standard checkout, it might cause this reactivation as well!","Om aktiverad, kommer systemet att styra om till Klarna Checkout nästa gång checkout anropas. OBS! Om standard checkout har många anpassningar, så kan det orsaka samma automatisk aktivering oavsett!"
"Only run Klarma Checkout if Explicitly called","Kör Klarna Checkout endast om direkt anropad"
"If set to Yes, and you go to checkout without any customisation, it will go to standard checkout rather than Klarna Checkout by default","Om aktiverad, så kommer du till standard kassan om du klickar på checkout, istället för till Klarna Checkout"
"Enable A/B Testing","Aktivera A/B testning"
"Specific for API V.3x (US and UK)","Endast för API V.3x (US och UK)"
"Show other allowed shipping countries","Visa andra tillåtna leverans länder"
"List of allowed shipping countries. If none selected, none will be supported. List will appear in Klarna Checkout","Lista över tillåtna länder att leverera till. Är ingen vald, visas ingen. Listan visas i Klarna Checkout"
"Include Shipping Options","Inkludera frakt alternativ"
"List of available shipping options that should appear in Klarna Checkout.","Lista över tillgängla leverans alternativ som ska visas i Klarna Checkout."
"Show Extended Error Message","Visa utökade felmeddelanden till kund"
"""Yes"" - show error messages provided by Klarna. ""No"" - show default error message","""Ja"" - visa felmeddelandet som Klarna skickar. ""Nej"" - visa ett standard meddelande"
"Show extended error message in case if authorization was failed","Visa utökade felmeddelande om reservation misslyckas"
"Show advanced options","Visa avancerade alternativ"
"Display advanced or seldomly used settings","Visa avancerade eller sällan använda alternativ"
"Can be used if site is in a different language than the official language of current country","Kan användas om språket på siten är ett annat än det officiella språket för landet"

"Please note that the shipping address will be used for both shipping and billing address when you place your order","Leveransadressen kommer att användas för både leverans och fakturaadress när du lägger ordern"
"Name and country must be the same for shipping and billing address!","Namn och land måste vara samma på både leverans och faktura adress!"
"Allow part capture when orders have discount","Tillåt del aktivering när ordrar har rabatter"
"Due to how discounts are added on the Klarna reservation, part capturing an order with a discount can result in too low amounts being captured. Activate on your own risk.","På grund av hur rabatter läggs till i Klarnas reservation, att del aktivera kan orsaka att för låg summa fångas. Aktivera på egen risk."

"Shopping Cart","Varurkorg"
"Choose shipping method","Visa leverans alternativ"
"Quantity","Antal"
"Payment cancelled or some error occured. Please try again.","Betalningen avbruten eller så uppstod ett fel. Vänligen försök igen."

"German specific hardcoded usecase with links (part one)","Verfügungsrahmen ab 199,99 € (abhängig von der Höhe Ihrer Einkäufe), effektiver Jahreszins 18,07 %* und Gesamtbetrag 218,57 €* (bei Ausnutzung des vollen Verfügungsrahmens und Rückzahlung in 12 monatlichen Raten je 18,21 €)."
"German specific hardcoded usecase with links (part two), weitere Informationen link %s AGB link %s Standardinformationen link %s","Hier finden Sie %s, %s und %s."
"German specific hardcoded usecase with links (part three), Rechnungskauf link %s","Übersteigt Ihr Einkauf mit Klarna Ratenkauf erstmals einen Betrag von 199,99 €, erhalten Sie von Klarna einen Ratenkaufvertrag mit der Bitte um Unterzeichnung zugesandt. Ihr Kauf gilt solange als %s."
"weitere Informationen","weitere Informationen"
"AGB mit Widerrufsbelehrung","AGB mit Widerrufsbelehrung"
"Standardinformationen für Verbraucherkredite","Standardinformationen für Verbraucherkredite"
"Rechnungskauf","Rechnungskauf"
"Pay in 15 days","Betala om 14 dagar"
"Not available for Austria and the Netherlands","Inte tillgänglig för Österrike och Holland"
"Klarna supports one country per store","Klarna stödjer bara ett land per butik"
